"ID";"Week";"Year";"Gender";"Age";"Income";"Deal";"Display";"Coupon";"Paid_Search_Advertising";"YouTube_Unique_Users";"Facebook_Page_Views";"Facebook_New_Likes";"Facebook_New_Unlikes";"Facebook_New_Comments";"YouTube_Views";"purchase";"views_per_user"
1100131;9;2020;"Female";44;935;0;0;0;15.763377348938;51;81;22;2;15;85;0;1.66666666666667
1100131;10;2020;"Female";44;935;0;0;0;16.0587938194972;69;82;19;3;27;103;0;1.49275362318841
1100131;11;2020;"Female";44;935;0;1;0;15.4561265596314;47;100;21;2;19;88;1;1.87234042553191
1100131;12;2020;"Female";44;935;0;1;0;17.2039822950092;32;109;23;3;21;74;0;2.3125
1100131;13;2020;"Female";44;935;0;1;0;18.1478881928584;54;86;23;3;20;87;1;1.61111111111111
1100131;14;2020;"Female";44;935;0;1;0;15.1217103981107;37;93;19;2;18;53;0;1.43243243243243
1100131;15;2020;"Female";44;935;1;0;0;16.0612108458043;40;79;21;3;19;95;0;2.375
1100131;16;2020;"Female";44;935;0;0;0;17.5816371990515;52;88;26;3;16;83;0;1.59615384615385
1100131;17;2020;"Female";44;935;0;1;0;16.5507410989403;48;82;21;2;23;88;0;1.83333333333333
1100131;18;2020;"Female";44;935;0;0;1;16.3267002417765;46;95;24;2;32;113;1;2.45652173913043
1100131;19;2020;"Female";44;935;0;1;0;15.0967963268787;63;75;22;3;23;96;0;1.52380952380952
1100131;20;2020;"Female";44;935;0;0;0;17.6887204211381;45;101;17;2;23;69;0;1.53333333333333
1100131;21;2020;"Female";44;935;0;0;0;18.7302113173634;54;96;21;2;27;91;1;1.68518518518519
1100131;22;2020;"Female";44;935;0;1;0;12.8785201922237;51;102;24;3;31;113;1;2.2156862745098
1100131;23;2020;"Female";44;935;0;1;0;18.5684001507318;51;78;14;2;25;110;0;2.15686274509804
1100131;24;2020;"Female";44;935;0;0;0;16.6564216941658;55;82;18;3;21;122;1;2.21818181818182
1100131;25;2020;"Female";44;935;0;0;0;17.1402950662287;53;89;21;4;28;90;0;1.69811320754717
1100131;26;2020;"Female";44;935;0;0;0;20.2718968178709;56;72;25;3;20;110;0;1.96428571428571
1100131;27;2020;"Female";44;935;0;0;0;16.2135538237452;37;89;24;3;26;86;1;2.32432432432432
1100131;28;2020;"Female";44;935;0;0;0;15.038677523363;59;96;20;2;13;112;1;1.89830508474576
1100131;29;2020;"Female";44;935;0;0;0;18.7264719081907;45;88;18;2;15;75;0;1.66666666666667
1100131;30;2020;"Female";44;935;0;1;0;15.0786978516508;57;84;20;3;19;101;0;1.7719298245614
1100131;31;2020;"Female";44;935;0;0;1;15.7652525872858;55;87;19;2;21;130;1;2.36363636363636
1100131;32;2020;"Female";44;935;0;0;0;14.6387781213502;40;86;20;1;22;93;0;2.325
1100131;33;2020;"Female";44;935;0;1;0;17.3085458094873;38;91;22;1;32;52;0;1.36842105263158
1100131;34;2020;"Female";44;935;0;1;1;16.6980324338262;57;94;21;3;20;108;1;1.89473684210526
1100131;35;2020;"Female";44;935;1;0;0;17.3996008694323;41;67;20;2;18;79;0;1.92682926829268
1100131;36;2020;"Female";44;935;0;0;1;16.0958002097721;46;70;27;3;22;68;0;1.47826086956522
1100131;37;2020;"Female";44;935;0;0;0;19.2576120037763;61;90;25;3;22;99;1;1.62295081967213
1100131;38;2020;"Female";44;935;0;1;0;17.9812467340429;39;104;21;1;24;61;0;1.56410256410256
1100131;39;2020;"Female";44;935;0;0;0;18.3350463845417;32;103;22;2;21;82;1;2.5625
1100131;40;2020;"Female";44;935;0;1;0;14.731531486759;43;102;21;3;14;89;0;2.06976744186047
1100131;41;2020;"Female";44;935;0;1;1;15.0086879416343;32;96;22;3;19;74;0;2.3125
1100131;42;2020;"Female";44;935;0;0;0;16.0884039315651;47;77;16;4;27;72;0;1.53191489361702
1100131;43;2020;"Female";44;935;1;1;0;16.3919542990159;37;81;17;3;19;40;0;1.08108108108108
1100131;44;2020;"Female";44;935;0;0;0;18.6006700975177;45;98;16;2;18;99;1;2.2
1100131;45;2020;"Female";44;935;1;0;0;16.497058653496;53;94;24;1;21;104;1;1.9622641509434
1100131;46;2020;"Female";44;935;1;1;0;18.6529320809365;43;86;21;3;16;115;1;2.67441860465116
1100131;47;2020;"Female";44;935;0;0;1;16.5841463049242;40;92;20;2;26;88;0;2.2
1100131;48;2020;"Female";44;935;0;0;0;21.1593775312925;48;104;16;3;25;82;0;1.70833333333333
1100131;49;2020;"Female";44;935;0;0;0;16.7355830919427;36;85;23;2;28;79;0;2.19444444444444
1100131;50;2020;"Female";44;935;0;1;0;17.5166174212788;58;84;17;2;27;109;0;1.87931034482759
1100131;51;2020;"Female";44;935;0;0;0;14.248734532286;50;72;16;3;19;104;0;2.08
1100131;52;2020;"Female";44;935;0;0;1;13.1103650283575;49;106;16;3;20;76;0;1.55102040816327
1100131;53;2020;"Female";44;935;0;0;0;15.5448874192253;50;95;19;2;24;55;0;1.1
1100131;1;2021;"Female";45;935;0;1;0;17.3538654856151;49;93;23;2;28;75;0;1.53061224489796
1100131;2;2021;"Female";45;935;1;0;0;18.5849062103412;40;97;20;3;29;67;0;1.675
1100131;3;2021;"Female";45;935;0;0;1;16.6205477448586;51;90;23;2;18;96;1;1.88235294117647
1100131;4;2021;"Female";45;935;0;0;0;19.33087566864;58;63;22;3;24;108;0;1.86206896551724
1100131;5;2021;"Female";45;935;0;0;0;15.3067023299079;42;79;23;2;24;101;0;2.4047619047619
1100131;6;2021;"Female";45;935;0;1;0;13.321199464842;44;85;16;3;27;62;0;1.40909090909091
1100131;7;2021;"Female";45;935;0;0;1;17.3325235699546;39;94;24;3;35;71;0;1.82051282051282
1100131;8;2021;"Female";45;935;0;1;0;16.2311974674544;44;90;21;3;22;77;0;1.75
